标题,个人评分,打分日期,我的短评,上映日期,制片国家,条目链接
"惊蛰","3","2021/02/16","","","","https://movie.douban.com/subject/1478936/"
"恋恋风尘 / 戀戀風塵","4","2021/02/16","","","","https://movie.douban.com/subject/1292330/"
"女人，四十","4","2021/02/16","","","","https://movie.douban.com/subject/1308162/"
"天水围的日与夜 / 天水圍的日與夜","3","2021/02/16","","2008/03/27","香港国际电影节","https://movie.douban.com/subject/3077668/"
"似水流年","4","2021/02/16","","1984/09/07","中国香港","https://movie.douban.com/subject/1294139/"
"两个只能活一个 / 兩個只能活一個","4","2021/02/16","","1997/05/10","中国香港","https://movie.douban.com/subject/1296623/"
"寄生虫 / 기생충","3","2021/02/15","","2019/05/21","戛纳电影节","https://movie.douban.com/subject/27010768/"
"玉卿嫂","3","2021/02/15","","","","https://movie.douban.com/subject/4411139/"
"青梅竹马 / 青梅竹馬","3","2021/02/15","","","","https://movie.douban.com/subject/1305327/"
"童年往事","4","2021/02/15","","1985/08/03","中国台湾","https://movie.douban.com/subject/1300572/"
"冬冬的假期","4","2021/02/15","","","","https://movie.douban.com/subject/1299103/"
"戏梦人生 / 戲夢人生","4","2021/02/15","","1993/05/24","戛纳电影节","https://movie.douban.com/subject/1302941/"
"天书奇谭","4","2021/02/15","","","","https://movie.douban.com/subject/1428581/"
"哪吒闹海","5","2021/02/15","","1979/05/19","中国大陆","https://movie.douban.com/subject/1307315/"
"牯岭街少年杀人事件 / 牯嶺街少年殺人事件","4","2021/02/15","","1991/07/27","中国台湾","https://movie.douban.com/subject/1292329/"
"素媛 / 소원","3","2021/02/15","","2013/10/02","韩国","https://movie.douban.com/subject/21937452/"
"辩护人 / 변호인","2","2021/02/15","","2013/12/18","韩国","https://movie.douban.com/subject/21937445/"
"人生果实 / 人生フルーツ","4","2021/02/15","","2017/01/02","日本","https://movie.douban.com/subject/26874505/"
"釜山行 / 부산행","3","2021/02/15","","2016/05/13","戛纳电影节","https://movie.douban.com/subject/25986180/"
"新世界 / 신세계","3","2021/02/15","","2013/02/21","韩国","https://movie.douban.com/subject/10437779/"
"我爱你 / 그대를 사랑합니다","3","2021/02/15","","2011/02/17","韩国","https://movie.douban.com/subject/5908478/"
"网络谜踪 / Searching","2","2021/02/15","","2018/01/21","圣丹斯电影节","https://movie.douban.com/subject/27615441/"
"失去的周末 / The Lost Weekend","3","2021/02/15","","","","https://movie.douban.com/subject/1297634/"
"忠勇之家 / Mrs. Miniver","3","2021/02/15","","","","https://movie.douban.com/subject/1300321/"
"青山翠谷 / How Green Was My Valley","4","2021/02/15","","1941/10/28","美国","https://movie.douban.com/subject/1293322/"
"左拉传 / The Life of Emile Zola","3","2021/02/15","","1937/08/11","美国","https://movie.douban.com/subject/1293216/"
"歌舞大王齐格飞 / The Great Ziegfeld","3","2021/02/15","","1936/04/08","美国","https://movie.douban.com/subject/1294874/"
"叛舰喋血记 / Mutiny on the Bounty","3","2021/02/15","","1935/11/08","美国","https://movie.douban.com/subject/1298059/"
"乱世春秋 / Cavalcade","3","2021/02/15","","1933/01/05","纽约首映","https://movie.douban.com/subject/1300344/"
"日出 / Sunrise: A Song of Two Humans","3","2021/02/15","","","","https://movie.douban.com/subject/1295753/"
"翼 / Wings","3","2021/02/15","","1927/05/19","圣安东尼奥首映","https://movie.douban.com/subject/1293774/"
"百老汇旋律 / The Broadway Melody","3","2021/02/15","","1929/02/01","洛杉矶首映","https://movie.douban.com/subject/1292670/"
"壮志千秋 / Cimarron","3","2021/02/15","","1931/02/09","美国","https://movie.douban.com/subject/1295928/"
"大饭店 / Grand Hotel","4","2021/02/15","","","","https://movie.douban.com/subject/1297626/"
"西线无战事 / All Quiet on the Western Front","4","2021/02/15","","1930/04/21","美国","https://movie.douban.com/subject/1295116/"
"黑色大丽花 / The Black Dahlia","4","2021/02/15","","2006/09/15","美国","https://movie.douban.com/subject/1578669/"
"铁面无私 / The Untouchables","3","2021/02/15","","1987/06/02","纽约首映","https://movie.douban.com/subject/1292532/"
"疤面煞星 / Scarface","3","2021/02/15","","1983/12/01","美国","https://movie.douban.com/subject/1292065/"
"枭巢喋血战 / The Maltese Falcon","3","2021/02/15","","","","https://movie.douban.com/subject/1295793/"
"火树银花 / Meet Me in St. Louis","4","2021/02/15","","1944/11/28","美国","https://movie.douban.com/subject/1295445/"
"原野奇侠 / Shane","3","2021/02/15","","","","https://movie.douban.com/subject/1292767/"
"巨人传 / Giant","3","2021/02/15","","1956/10/10","美国","https://movie.douban.com/subject/1298289/"
"费城故事 / The Philadelphia Story","4","2021/02/15","","1940/12/05","美国部分上映","https://movie.douban.com/subject/1292840/"
"大卫林奇短片集 / The Short Films of David Lynch","4","2021/02/15","","","","https://movie.douban.com/subject/1417536/"
"龙凤配 / Sabrina","3","2021/02/15","","1954/09/09","伦敦首映","https://movie.douban.com/subject/1293868/"
"洛城机密 / L.A. Confidential","3","2021/02/15","","1997/09/19","美国","https://movie.douban.com/subject/1292348/"
"碧血黄沙 / Blood and Sand","3","2021/02/15","","","","https://movie.douban.com/subject/1300114/"
"子弹横飞百老汇 / Bullets Over Broadway","5","2021/02/15","","1994/09/06","威尼斯电影节","https://movie.douban.com/subject/1295452/"
"国民公敌 / The Public Enemy","3","2021/02/15","","","","https://movie.douban.com/subject/1296946/"
"一路向东 / Way Down East","4","2021/02/15","","1920/09/03","美国","https://movie.douban.com/subject/1292459/"
"黄飞鸿之五：龙城歼霸 / 黃飛鴻之五龍城殲霸","2","2021/02/15","","1994/11/17","中国香港","https://movie.douban.com/subject/1307507/"
"黄飞鸿之四：王者之风 / 黃飛鴻之四王者之風","3","2021/02/15","","1993/06/10","中国香港","https://movie.douban.com/subject/1294011/"
"一个都不能少","3","2021/02/15","","1999/09/07","威尼斯电影节","https://movie.douban.com/subject/1294963/"
"三毛从军记","3","2021/02/15","","","","https://movie.douban.com/subject/2132220/"
"铁窗喋血 / Cool Hand Luke","3","2021/02/15","","1967/11/01","美国","https://movie.douban.com/subject/1293698/"
"好人寥寥 / A Few Good Men","3","2021/02/15","","","","https://movie.douban.com/subject/1295260/"
"布拉格之恋 / The Unbearable Lightness of Being","3","2021/02/15","","1988/02/05","美国","https://movie.douban.com/subject/1291859/"
"阿飞正传 / 阿飛正傳","4","2021/02/15","","1990/12/15","中国香港","https://movie.douban.com/subject/1305690/"
"枪火 / 鎗火","4","2021/02/15","","1999/11/19","中国香港","https://movie.douban.com/subject/1300741/"
"方世玉续集","3","2021/02/14","","1993/07/30","中国香港","https://movie.douban.com/subject/1295485/"
"倚天屠龙记之魔教教主 / 倚天屠龍記之魔教教主","3","2021/02/14","","1993/12/18","中国香港","https://movie.douban.com/subject/1299059/"
"鹿鼎记 / 鹿鼎記","4","2021/02/14","","1992/07/30","中国香港","https://movie.douban.com/subject/1297223/"
"鹿鼎记2：神龙教 / 鹿鼎記II 神龍教","3","2021/02/14","","1992/09/24","中国香港","https://movie.douban.com/subject/1306951/"
"武状元苏乞儿 / 武狀元蘇乞兒","4","2021/02/14","","1992/12/17","中国香港","https://movie.douban.com/subject/1297863/"
"青少年哪吒","4","2021/02/14","","","","https://movie.douban.com/subject/1307561/"
"推手","4","2021/02/14","","1991/12/07","金马影展","https://movie.douban.com/subject/1306939/"
"恐怖分子 / 恐怖份子","4","2021/02/14","","1986/12/19","中国台湾","https://movie.douban.com/subject/1305261/"
"东方不败之风云再起 / 東方不敗之風雲再起","3","2021/02/13","","1993/01/21","中国香港","https://movie.douban.com/subject/1394324/"
"马尔科姆与玛丽 / Malcolm & Marie","3","2021/02/13","","2021/01/29","美国点映","https://movie.douban.com/subject/35135958/"
"东京奏鸣曲 / トウキョウソナタ","4","2021/02/13","","2008/05/17","戛纳电影节","https://movie.douban.com/subject/2032143/"
"热血警探 / Hot Fuzz","4","2021/02/13","","2007/02/14","英国","https://movie.douban.com/subject/1806555/"
"买凶拍人 / 買兇拍人","3","2021/02/13","","2001/08/16","中国香港","https://movie.douban.com/subject/1300616/"
"太极张三丰 / 太極張三豐","3","2021/02/13","","1993/11/18","中国香港","https://movie.douban.com/subject/1294561/"
"赛德克·巴莱(上)：太阳旗 / 賽德克·巴萊(上)太陽旗","4","2021/02/12","","2011/09/01","威尼斯电影节","https://movie.douban.com/subject/10450409/"
"赛德克·巴莱(下)：彩虹桥 / 賽德克·巴萊(下)彩虹橋","4","2021/02/12","","2011/09/01","威尼斯电影节","https://movie.douban.com/subject/6393127/"
"赛德克·巴莱 / 賽德克·巴萊","4","2021/02/12","","2012/05/10","中国大陆","https://movie.douban.com/subject/3993559/"
"笑傲江湖","4","2021/02/12","","1996/06/24","中国香港","https://movie.douban.com/subject/2294255/"
"孤儿怨 / Orphan","4","2021/02/12","","2009/07/24","美国","https://movie.douban.com/subject/3011308/"
"东邪西毒：终极版 / 東邪西毒終極版","4","2021/02/12","","2008/05/18","戛纳电影节","https://movie.douban.com/subject/3726072/"
"招魂 / The Conjuring","3","2021/02/12","","2013/06/08","马德里奇幻电影节","https://movie.douban.com/subject/3804629/"
"浮生一日2020 / Life in A Day 2020","3","2021/02/12","","2021/02/06","美国","https://movie.douban.com/subject/35134779/"
"泰迦奥特曼剧场版：新生代之巅 / 劇場版 ウルトラマンタイガ ニュ...","2","2021/02/12","","2020/08/07","日本","https://movie.douban.com/subject/34937929/"
"笑傲江湖","3","2021/02/12","改动太大了……比想象中大了好多。我果然还是更倾向于尊于原作，特别是我最爱的笑傲江湖我更想看小改动的电影。","1990/01/27","中国台湾","https://movie.douban.com/subject/1297304/"
"笑傲江湖2：东方不败 / 笑傲江湖II東方不敗","4","2021/02/12","林青霞实在太美了","1992/06/26","中国香港","https://movie.douban.com/subject/1294417/"
"苍穹浩瀚 第五季 / The Expanse Season 5","3","2021/02/11","","2020/12/16","美国","https://movie.douban.com/subject/34725334/"
"毒枭：墨西哥 第一季 / Narcos: Mexico Season 1","3","2021/02/11","","2018/11/16","美国","https://movie.douban.com/subject/26869686/"
"毒枭：墨西哥 第二季 / Narcos: Mexico Season 2","3","2021/02/11","","2020/02/13","美国","https://movie.douban.com/subject/30395836/"
"满城尽带黄金甲","2","2021/02/11","","2006/12/14","中国大陆","https://movie.douban.com/subject/1499008/"
"千里走单骑","3","2021/02/11","","2005/12/22","中国大陆","https://movie.douban.com/subject/1422952/"
"一秒钟","3","2021/02/11","","2020/11/27","中国大陆","https://movie.douban.com/subject/30257787/"
"大红灯笼高高挂","4","2021/02/11","","1991/09/10","威尼斯电影节","https://movie.douban.com/subject/1293323/"
"红高粱","4","2021/02/11","","","","https://movie.douban.com/subject/1306505/"
"英雄","3","2021/02/11","","2002/12/19","中国大陆/香港","https://movie.douban.com/subject/1306123/"
"金陵十三钗","3","2021/02/11","","2011/12/15","中国大陆","https://movie.douban.com/subject/3649049/"
"英雄本色2","4","2021/02/11","","1987/12/17","中国香港","https://movie.douban.com/subject/1297862/"
"英雄本色3：夕阳之歌 / 英雄本色III夕陽之歌","3","2021/02/11","","1989/10/20","中国香港","https://movie.douban.com/subject/1293759/"
"古墓丽影2 / Lara Croft Tomb Raider: The Cradle of Life","2","2021/02/11","","2003/07/21","美国","https://movie.douban.com/subject/1307657/"
"古墓丽影 / Lara Croft: Tomb Raider","2","2021/02/11","","2001/06/15","美国","https://movie.douban.com/subject/1293173/"
"小魔女蒙娜 第二季 / Mona the Vampire Season 2","4","2021/02/11","","","","https://movie.douban.com/subject/27200725/"
"小魔女蒙娜 第三季 / Mona the Vampire Season 3","4","2021/02/11","","","","https://movie.douban.com/subject/27602536/"
"荒凉幻境 / 大いなる幻影","4","2021/02/11","","1999/09/02","威尼斯电影节","https://movie.douban.com/subject/1394874/"
"奥特英雄传赛罗和捷德 / ウルトラマン クロニクル ZERO＆GEED","2","2021/02/11","","2020/01/11","日本","https://movie.douban.com/subject/34937928/"
"欧布奥特曼：英雄传 / ウルトラマンオーブ THE CHRONICLE","2","2021/02/11","","2018/01/06","日本","https://movie.douban.com/subject/27613076/"
"赛罗奥特曼 英雄传 / ウルトラマンゼロ THE CHRONICLE","2","2021/02/11","","2017/01/07","日本","https://movie.douban.com/subject/26951497/"
"哉阿斯奥特曼2：超人大战·光与影 / ウルトラマンゼアス2 超人大戦...","3","2021/02/11","","1997/04/12","日本","https://movie.douban.com/subject/3819389/"
"葛雷奥特曼 / ウルトラマングレート","3","2021/02/11","","1990/09/25","日本","https://movie.douban.com/subject/3397919/"
"奥特曼USA / Ultraman: The Adventure Begins","3","2021/02/11","","","","https://movie.douban.com/subject/3828199/"
"乔尼亚斯奥特曼 / ザ☆ウルトラマン","3","2021/02/11","","","","https://movie.douban.com/subject/3831140/"
"阳光姐妹淘 / 써니","3","2021/02/11","","2011/05/04","韩国","https://movie.douban.com/subject/4917726/"
"奥特曼前夜祭 奥特曼诞生! / ウルトラマン前夜祭 ウルトラマン誕生","3","2021/02/11","","1966/07/10","日本","https://movie.douban.com/subject/5150767/"
"长篇怪兽电影 奥特曼 / 長篇怪獣映画ウルトラマン","3","2021/02/11","","","","https://movie.douban.com/subject/3831607/"
"电影 赛文奥特曼 / 映画 ウルトラセブン","3","2021/02/11","","","","https://movie.douban.com/subject/6008462/"
"超格斗 / ウルトラファイト","2","2021/02/11","","","","https://movie.douban.com/subject/10001449/"
"剧场版 杰克奥特曼：次郎乘上了怪兽 / 帰ってきたウルトラマン 次...","3","2021/02/11","","","","https://movie.douban.com/subject/5397434/"
"剧场版 泰罗奥特曼 / 劇場版 ウルトラマンタロウ ウルトラの母は太...","3","2021/02/11","","1973/08/01","日本","https://movie.douban.com/subject/6008464/"
"剧场版 泰罗奥特曼：吊唁花是少女在作怪 / 劇場版 ウルトラマンタ...","3","2021/02/11","","","","https://movie.douban.com/subject/6008466/"
"实相寺昭雄监督作品奥特曼 / 実相寺昭雄監督作品ウルトラマン","4","2021/02/11","","1979/03/17","日本","https://movie.douban.com/subject/2264562/"
"剧场版 雷欧奥特曼：雷欧兄弟对怪兽兄弟 / 劇場版 ウルトラマンレ...","3","2021/02/11","","","","https://movie.douban.com/subject/6008467/"
"剧场版 雷欧奥特曼：可怜的流浪怪兽 / 劇場版 ウルトラマンレオ か...","3","2021/02/11","","","","https://movie.douban.com/subject/6008468/"
"奥特曼 怪兽大决战 / ウルトラマン怪獣大決戦","4","2021/02/11","","","","https://movie.douban.com/subject/3831615/"
"安德鲁战士 / アンドロメロス","2","2021/02/11","","1983/02/28","日本","https://movie.douban.com/subject/3977452/"
"剧场版奥特曼 恐怖的87国道 / 劇場版 ウルトラマン 恐怖のルート87","3","2021/02/11","","","","https://movie.douban.com/subject/6008469/"
"剧场版 艾斯奥特曼：大蚁超兽对奥特兄弟 / ウルトラマンA 大蟻超獣...","3","2021/02/11","","1989/04/29","日本","https://movie.douban.com/subject/6008472/"
"奥特银河格斗：新世代英雄 / ウルトラギャラクシーファイト ニュー...","3","2021/02/11","","2019/09/29","日本","https://movie.douban.com/subject/34778045/"
"怪兽俱乐部：空想特摄青春记 / 怪獣倶楽部～空想特撮青春記～","2","2021/02/11","","2017/06/05","日本","https://movie.douban.com/subject/27037552/"
"银河·奥特曼剧场Special 超极怪兽☆英雄大乱战 / ウルトラマンギ...","2","2021/02/11","","2014/03/15","日本","https://movie.douban.com/subject/25793388/"
"赛罗奥特曼 激突 黑色护甲装置 / ウルトラマンゼロ 激突!テクター...","2","2021/02/11","","","","https://movie.douban.com/subject/25749989/"
"奥特Q电影版 星之传说 / ウルトラQ ザ・ムービー 星の伝説","3","2021/02/11","","","","https://movie.douban.com/subject/2264574/"
"葛雷奥特曼 戈迪斯的反击 / ウルトラマンG ゴーデスの逆襲","2","2021/02/11","","","","https://movie.douban.com/subject/5423514/"
"葛雷奥特曼 怪兽击灭作战 / ウルトラマンG 怪獣撃滅作戦","2","2021/02/11","","1990/12/15","日本","https://movie.douban.com/subject/2264576/"
"我最喜欢的赛文奥特曼 / 私が愛したウルトラセブン","3","2021/02/11","","1993/02/13","日本","https://movie.douban.com/subject/6008139/"
"赛文奥特曼 太阳能作战 / ウルトラセブン 太陽エネルギー作戦","4","2021/02/11","","","","https://movie.douban.com/subject/5041020/"
"赛文奥特曼 地球星人的大地 / ウルトラセブン 地球星人の大地","4","2021/02/11","","","","https://movie.douban.com/subject/5041021/"
"苏醒吧！奥特曼 / 甦れ!ウルトラマン","3","2021/02/11","","1996/03/09","日本","https://movie.douban.com/subject/6008470/"
"赛文奥特曼 失去记忆 / ウルトラセブン 失われた記憶","4","2021/02/11","","","","https://movie.douban.com/subject/5041022/"
"赛文奥特曼 比地球更久远 / ウルトラセブン 地球より永遠に","4","2021/02/11","","","","https://movie.douban.com/subject/5041024/"
"赛文奥特曼 太阳的背叛 / ウルトラセブン 太陽の背信","4","2021/02/11","","","","https://movie.douban.com/subject/5041025/"
"赛文奥特曼 光荣与传说 / ウルトラセブン 栄光と伝説","4","2021/02/11","","","","https://movie.douban.com/subject/5041026/"
"赛文奥特曼 果实成熟之日 / ウルトラセブン 果実が熟す日","4","2021/02/11","","","","https://movie.douban.com/subject/5041027/"
"赛文奥特曼 空中飞舞的大铁块 / ウルトラセブン 空飛ぶ大鉄塊","4","2021/02/11","","","","https://movie.douban.com/subject/5041028/"
"赛文奥特曼 约定的结果 / ウルトラセブン 約束の果て","4","2021/02/11","","","","https://movie.douban.com/subject/5041029/"
"赛文奥特曼 仿制的男人 / ウルトラセブン 模造された男","4","2021/02/11","","","","https://movie.douban.com/subject/5041030/"
"高斯奥特曼2 蓝色行星 武藏少年篇 / ウルトラマンコスモス2 THE BL...","3","2021/02/11","","2002/09/07","日本","https://movie.douban.com/subject/5908499/"
"奥特Q 黑暗幻想 / ウルトラQ dark fantasy","3","2021/02/11","","2004/04/06","日本","https://movie.douban.com/subject/3911457/"
"奥特银河格斗：巨大的阴谋 / ウルトラギャラクシーファイト 大いな...","3","2021/02/11","","2020/11/22","日本","https://movie.douban.com/subject/35185177/"
"假面骑士圣刃：剑士列传 / 仮面ライダーセイバー スピンオフ 剣士列伝","2","2021/02/11","","2020/11/08","日本","https://movie.douban.com/subject/35235453/"
"无间道(正序版)","4","2021/02/11","","","","https://movie.douban.com/subject/4860078/"
"鬼子来了","4","2021/02/11","","2000/05/12","戛纳电影节","https://movie.douban.com/subject/1291858/"
"太阳照常升起","4","2021/02/11","","2007/09/03","威尼斯电影节","https://movie.douban.com/subject/1766086/"
"倩女幽魂2：人间道 / 倩女幽魂II 人間道","4","2021/02/11","","1990/07/13","中国香港","https://movie.douban.com/subject/1296629/"
"倩女幽魂3：道道道 / 倩女幽魂Ⅲ 道道道","3","2021/02/11","","","","https://movie.douban.com/subject/1298040/"
"志明与春娇 / 志明與春嬌","4","2021/02/11","","2010/03/25","中国香港","https://movie.douban.com/subject/4305436/"
"红海行动","2","2021/02/11","","2018/02/16","中国大陆","https://movie.douban.com/subject/26861685/"
"隐藏人物 / Hidden Figures","2","2021/02/11","","2016/12/25","美国","https://movie.douban.com/subject/26615208/"
"大空头 / The Big Short","4","2021/02/11","","2015/11/12","AFI影展","https://movie.douban.com/subject/26303622/"
"7号房的礼物 / 7번방의 선물","3","2021/02/11","","2013/01/23","韩国","https://movie.douban.com/subject/10777687/"
"爱·回家 / 집으로...","4","2021/02/11","","2002/04/05","韩国","https://movie.douban.com/subject/1299361/"
"喜宴 / 囍宴","4","2021/02/11","","","","https://movie.douban.com/subject/1303037/"
"叫我第一名 / Front of the Class","3","2021/02/11","","2008/12/07","美国","https://movie.douban.com/subject/4798888/"
"飓风营救 / Taken","3","2021/02/11","","2008/02/27","法国","https://movie.douban.com/subject/2124586/"
"逃出绝命镇 / Get Out","2","2021/02/11","","2017/01/23","圣丹斯电影节","https://movie.douban.com/subject/26688480/"
"惊情四百年 / Dracula","3","2021/02/11","","1992/11/13","美国","https://movie.douban.com/subject/1293124/"
"死寂 / Dead Silence","2","2021/02/11","","2007/03/16","美国","https://movie.douban.com/subject/1895120/"
"解除好友 / Unfriended","2","2021/02/11","","2014/07/20","加拿大奇幻电影节","https://movie.douban.com/subject/26281899/"
"解除好友2：暗网 / Unfriended: Dark Web","3","2021/02/11","","2018/03/09","西南偏南电影节","https://movie.douban.com/subject/26725678/"
"黄飞鸿 / 黃飛鴻","4","2021/02/11","","","","https://movie.douban.com/subject/1298443/"
"黄飞鸿之二：男儿当自强 / 黃飛鴻之二男兒當自強","4","2021/02/11","","","","https://movie.douban.com/subject/1293475/"
"黄飞鸿之三：狮王争霸 / 黃飛鴻之三獅王爭霸","4","2021/02/11","","1992/12/24","中国台湾","https://movie.douban.com/subject/1292704/"
"黄飞鸿之西域雄狮 / 黃飛鴻之西域雄獅","3","2021/02/11","","","","https://movie.douban.com/subject/1292843/"
"黄飞鸿之铁鸡斗蜈蚣 / 黃飛鴻之鐵雞鬥蜈蚣","3","2021/02/11","","1993/04/01","中国香港","https://movie.douban.com/subject/1305201/"
"黄飞鸿'92之龙行天下 / 黃飛鴻'92之龍行天下","2","2021/02/11","","","","https://movie.douban.com/subject/1294549/"
"师父","3","2021/02/11","","2015/11/11","台北金马影展","https://movie.douban.com/subject/25919910/"
"少林寺","4","2021/02/11","","1982/01/21","中国香港","https://movie.douban.com/subject/1301198/"
"绣春刀","3","2021/02/11","","2014/08/07","中国大陆","https://movie.douban.com/subject/24745500/"
"绣春刀II：修罗战场","2","2021/02/11","","2017/06/18","上海电影节","https://movie.douban.com/subject/26270502/"
"方世玉","4","2021/02/11","","1993/03/04","中国香港","https://movie.douban.com/subject/1297763/"
"回魂夜","4","2021/02/11","","","","https://movie.douban.com/subject/1299765/"
"明日之星 第二季 / Star Season 2","2","2021/02/10","","2017/09/27","美国","https://movie.douban.com/subject/26981428/"
"明日之星 第三季 / Star Season 3","2","2021/02/10","","","","https://movie.douban.com/subject/34937910/"
"归来记 第三季 / The Comeback Season 3","3","2021/02/10","","","","https://movie.douban.com/subject/26435676/"
"极地恶灵 第二季 / The Terror Season 2","2","2021/02/10","","2019/08/12","美国","https://movie.douban.com/subject/30254899/"
"寻 第二季 / Looking Season 2","3","2021/02/10","","2015/01/11","美国","https://movie.douban.com/subject/25912858/"
"国务卿女士 第六季 / Madam Secretary Season 6","3","2021/02/10","","2019/10/06","美国","https://movie.douban.com/subject/33441639/"
"飞天小女警2016 第三季 / The Powerpuff Girls Season 3","3","2021/02/10","","2018/05/13","美国","https://movie.douban.com/subject/30377801/"
"辛普森一家：家庭治疗 / The Simpsons: Family Therapy","3","2021/02/10","","1989/12/08","美国","https://movie.douban.com/subject/1850674/"
"辛普森一家：托儿所的漫长日 / The Simpsons: The Longest Daycare","3","2021/02/10","","2012/07/13","美国","https://movie.douban.com/subject/10945551/"
"辛普森一家之万圣节专辑之恐怖树屋 / The Simpsons: Night of the ...","3","2021/02/10","","","","https://movie.douban.com/subject/2296049/"
"恶搞之家 第十八季 / Family Guy Season 18","3","2021/02/10","","2019/09/29","美国","https://movie.douban.com/subject/34834652/"
"恶搞之家 第十九季 / Family Guy Season 19","3","2021/02/10","","2020/09/27","美国","https://movie.douban.com/subject/35063922/"
"杀人回忆 / 살인의 추억","3","2021/02/10","","2003/05/02","韩国","https://movie.douban.com/subject/1300299/"
"恐怖直播 / 더 테러 라이브","4","2021/02/10","","2013/07/31","韩国","https://movie.douban.com/subject/21360417/"
"散步的侵略者 / 散歩する侵略者","3","2021/02/09","","2017/05/21","戛纳电影节","https://movie.douban.com/subject/26870196/"
"欢乐时光 / ハッピーアワー","4","2021/02/09","","2015/08/14","洛迦诺电影节","https://movie.douban.com/subject/26550176/"
"回路","3","2021/02/09","","2001/02/03","日本","https://movie.douban.com/subject/1308561/"
"大河之歌 / অপরাজিত","5","2021/02/06","","1956/10/11","印度","https://movie.douban.com/subject/1306559/"
"热情如火 / Some Like It Hot","4","2021/02/06","","","","https://movie.douban.com/subject/1292574/"
"夜以继日 / 寝ても覚めても","4","2021/02/06","恐怖。除去恐怖还是恐怖，而如今的我更能感同身受。运镜剪辑调度之巧妙，气氛之梦幻，都不能不让人感叹。","2018/05/14","戛纳电影节","https://movie.douban.com/subject/27037053/"
"旅途的结束，世界的开始 / 旅のおわり、世界のはじまり","3","2021/02/06","","2019/06/14","日本","https://movie.douban.com/subject/30186562/"
"岸边之旅 / 岸辺の旅","3","2021/02/06","","2015/05/17","戛纳电影节","https://movie.douban.com/subject/25851628/"
"一九零零 / Novecento","5","2021/02/05","","1976/05/21","戛纳电影节","https://movie.douban.com/subject/1300956/"
"啊，男孩 / Oh Boy","3","2021/02/03","","2012/11/01","德国","https://movie.douban.com/subject/10806395/"
"圣山 / La montaña sagrada","4","2021/02/03","","","","https://movie.douban.com/subject/1401905/"
"艾德·伍德 / Ed Wood","4","2021/02/02","","1994/09/23","美国","https://movie.douban.com/subject/1293683/"
"水中刀 / Nóz w wodzie","4","2021/02/02","","1962/03/09","波兰","https://movie.douban.com/subject/1303086/"
"坏血 / Mauvais sang","4","2021/02/02","","","","https://movie.douban.com/subject/1301678/"
"CW无限地球危机 / Crisis on Infinite Earths","1","2021/01/31","","2019/12/08","美国","https://movie.douban.com/subject/34914951/"
"地球X危机 / Crisis on Earth-X","1","2021/01/31","","2017/11/27","美国","https://movie.douban.com/subject/27150257/"
"编织的女孩 / La dentellière","3","2021/01/31","","1977/05/25","法国","https://movie.douban.com/subject/1295785/"
"你还记得多莉·贝尔吗？ / Sjećaš li se Doli Bel?","4","2021/01/31","","1981/04/15","南斯拉夫","https://movie.douban.com/subject/1295068/"
"星尘往事 / Stardust Memories","4","2021/01/31","","","","https://movie.douban.com/subject/1298581/"
"过客 / Professione: reporter","3","2021/01/31","","","","https://movie.douban.com/subject/1297546/"
"成为朱莉娅 / Being Julia","3","2021/01/30","","","","https://movie.douban.com/subject/1308787/"
"潜水钟与蝴蝶 / Le Scaphandre et le Papillon","3","2021/01/30","","2007/05/22","戛纳电影节","https://movie.douban.com/subject/1865561/"
"哈姆雷特 / Hamlet","4","2021/01/30","莎翁剧本台词之美，装饰布景之华丽。可是连着听四个多小时的古代英语确实有点令人头疼","1996/12/25","美国","https://movie.douban.com/subject/1301717/"
"冰风暴 / The Ice Storm","4","2021/01/29","","1997/05/12","戛纳电影节","https://movie.douban.com/subject/1300930/"
"喜剧之王 / The King of Comedy","4","2021/01/29","","1982/12/18","冰岛","https://movie.douban.com/subject/1292772/"
"二楼传来的歌声 / Sånger från andra våningen","3","2021/01/29","","","","https://movie.douban.com/subject/1295877/"
"天鹅绒金矿 / Velvet Goldmine","4","2021/01/28","","","","https://movie.douban.com/subject/1294136/"
"法外之徒 / Bande à part","5","2021/01/28","","1964/07/29","洛迦诺电影节","https://movie.douban.com/subject/1401588/"
"秋天里的春光 / Babí léto","4","2021/01/28","","2001/09/27","捷克","https://movie.douban.com/subject/1308173/"
"两个人的车站 / Вокзал для двоих","4","2021/01/28","","1983/02/11","苏联","https://movie.douban.com/subject/1297585/"
"天堂的颜色 / رنگ خدا","4","2021/01/28","","1999/02/08","曙光旬电影节","https://movie.douban.com/subject/1304406/"
"木兰花 / Magnolia","4","2021/01/27","","","","https://movie.douban.com/subject/1293564/"
"海上花","4","2021/01/27","","1998/05/20","戛纳电影节","https://movie.douban.com/subject/1303451/"
"奥利最开心的一天 / Hymyilevä mies","4","2021/01/27","","2016/05/19","戛纳电影节","https://movie.douban.com/subject/26717467/"
"极地恋人 / Los amantes del Círculo Polar","4","2021/01/27","","1998/08/28","西班牙","https://movie.douban.com/subject/1307474/"
"长江七号","2","2021/01/24","","2008/01/30","中国大陆","https://movie.douban.com/subject/1961963/"
"河谷镇 第四季 / Riverdale Season 4","2","2021/01/18","","2019/10/09","美国","https://movie.douban.com/subject/30450402/"
"西班牙公主 第二季 / The Spanish Princess Season 2","2","2021/01/18","","2020/10/11","美国","https://movie.douban.com/subject/35060578/"
